Timestamp,Date,Currency,AmtLC,DebitAccount,CreditAccount,Comment,Party,Location,Ledger,Flags,SubmittedBy,Device,IP,EntryID
15.07.2026 06:52:00,14.07.2026,EUR,10,Life VP,SQ WS EUR VP,Drinks & Kaffee,Union Lido: Sole e Natura,IT-Cavallino,VP,,bulk-import,manual CSV import,,e-3fbd5d6721
15.07.2026 06:53:00,14.07.2026,EUR,4.8,Groceries VP,SQ WS EUR VP,Einkauf Lebensmittel,Union Lido: Panifico Vianello,IT-Cavallino,VP,,bulk-import,manual CSV import,,e-479667b1d6
16.07.2026 07:26:00,15.07.2026,EUR,9.05,Groceries VP,SQ WS EUR VP,Einkauf Lebensmittel,Union Lido: Tourist Market,IT-Cavallino,VP,,bulk-import,manual CSV import,,e-27020bf7db
16.07.2026 07:26:00,15.07.2026,EUR,9.46,Groceries VP,SQ WS EUR VP,Einkauf Lebensmittel,La Torre di Catelli,IT-Cavallino,VP,,bulk-import,manual CSV import,,e-3dbe540e90
16.07.2026 07:27:00,15.07.2026,EUR,4.7,Groceries VP,SQ WS EUR VP,Einkauf Lebensmittel,Union Lido: Panifico Vianello,IT-Cavallino,VP,,bulk-import,manual CSV import,,e-9600872060
16.07.2026 07:27:00,15.07.2026,EUR,2.5,Life VP,SQ WS EUR VP,Drinks & Kaffee,Union Lido: Sole e Natura,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-073f5be5b3
16.07.2026 07:29:00,15.07.2026,EUR,96,Restaurants (Family) PG,SQ WS EUR PG (#315),#DD3,Union Lido: Ristorante Adriactico,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-7a13467c8a
16.07.2026 07:30:00,15.07.2026,EUR,20.5,Life PG,SQ WS EUR PG (#315),Drinks & Kaffee,Union Lido: Marino,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-3e06cc7425
16.07.2026 07:30:00,15.07.2026,EUR,6.6,Life PG,SQ WS EUR PG (#315),Snack,Union Lido: VOVI VEGS&MORE,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-8496cd8d39
16.07.2026 07:31:00,15.07.2026,EUR,9,Life PG,SQ WS EUR PG (#315),Snack,Union Lido: CAVANA,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-99f6750503
16.07.2026 07:32:00,15.07.2026,EUR,8.7,Life PG,SQ WS EUR PG (#315),Schrauben / Spielsachen,Camping Market,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-ada21427a5
17.07.2026 06:56:00,16.07.2026,EUR,13.09,Groceries VP,SQ WS EUR VP,Einkauf Lebensmittel,La Torre di Catelli,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-f4cb5c015c
17.07.2026 06:56:00,16.07.2026,EUR,2.5,Life VP,SQ WS EUR VP,Drinks & Kaffee,Union Lido: Sole e Natura,IT-Cavallino,VP,,bulk-import,manual CSV import,,e-d4d8a40738
17.07.2026 06:57:00,16.07.2026,EUR,6.9,Groceries VP,SQ WS EUR VP,Einkauf Lebensmittel,Union Lido: Panifico Vianello,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-1b80f3559b
